CategoryCode,CategoryCodeDesc,CategoryShortDesc,CategoryLongDesc,CategoryType,TopCategory,
B334DS,334DS,,,A,N,
B335,335,,,A,N,
B335D,335D,,,A,N,
B335DS,335DS,,,A,N,
B340,340,,,A,N,
B400,400,,,A,N,
B410,410  Bernette,,,A,N,
B420,420 Bernette,,,A,N,
B430,430,,,A,N,
B435,435,,,A,N,
B440,440,,,A,N,
B450,450,,,A,N,
B50,50  Bernette,,,A,N,
B500,500,,,A,N,
B530,530,,,A,N,
B532,532,,,A,N,
B534,534,,,A,N,
B540,540,,,A,N,
B60,B60,,,A,N,
B600,600,,,A,N,
B610,610,,,A,N,
B630,630,,,A,N,
B640,640,,,A,N,
B642,642,,,A,N,
B644,644,,,A,N,
B70,B70,,,A,N,
B700,700,,,A,N,
B700D,700D,,,A,N,
B701,701,,,A,N,
B707,707,,,A,N,
B708,708,,,A,N,
B709,709,,,A,N,
B710,710,,,A,N,
B715,715 Bernette,,,A,N,
B717,717,,,A,N,
B718,718,,,A,N,
B719,719,,,A,N,
B727,727,,,A,N,
B728,728,,,A,N,
B729,729,,,A,N,
B730,730,,,A,N,
B731,731,,,A,N,
B732,732,,,A,N,
B740,740,,,A,N,
B740E,740E,BERNETTE,,A,N,
B741,741,,,A,N,
B742,742,,,A,N,
B744,744,,,A,N,
B750,750,,,A,N,
B80,B80,,,A,N,
B800,800,,,A,N,
B800D,800D,,,A,N,
B800DL,800DL,,,A,N,
B801,801,,,A,N,
B801S,801S,,,A,N,
B802,802,,,A,N,
B802S,802S,,,A,N,
B803,803,,,A,N,
B803S,803S,,,A,N,
B807,807,,,A,N,
B808,808,,,A,N,
B809,809,,,A,N,
B810,810,,,A,N,
B811,811,,,A,N,
B817,817,,,A,N,
B818,818,,,A,N,
B819,819,,,A,N,
B830,830,,,A,N,
B831,831,,,A,N,
B832,832,,,A,N,
B833,833,,,A,N,
B840,840,,,A,N,
B841,841,,,A,N,
B842,842,,,A,N,
B850,850,,,A,N,
B900,900,,,A,N,
B910,910,,,A,N,
B929D,929D,,,A,N,
B930,930,,,A,N,
B931,931,,,A,N,
B932,932,,,A,N,
B933,933,,,A,N,
B940,940,,,A,N,
B950,950,,,A,N,
BBL,BabyLock-SewingMachines,FOR SEWING MACHINE,,A,N,
BBL-SR,BabyLock-Sergers,FOR SERGER MACHINE,,A,N,
BDC500,DECO 500,,,A,N,
BDC600,DECO 600,,,A,N,
BDC650,DECO 650,,,A,N,
BERNETTE,"Bernina, Bernette Sergers",,,A,N,
BERNINA,Bernina Sewing Machines,,,B,N,
BK,Notion Books,,,B,N,
BK-ALP,Alphasew,,,A,N,
BK-S,Singer,,,A,N,
BL1000,BL1000,,,A,N,
BL101,BL101,,,A,N,
BL1050,BL1050,,,A,N,
BL1108,BL1108,,,A,N,
BL1170,BL1170,,,A,N,
BL137A,BL137A,,,A,N,
BL137A2,BL137A2 (Sofia 2),,,A,N,
BL1400,BL1400,,,A,N,
BL15,B15,,,A,N,
BL1500,BL1500,,,A,N,
BL1506,BL1506,,,A,N,
BL1550,BL1550,,,A,N,
BL1556,BL1556,Baby lock,,A,N,
BL1560,BL1560,,,A,N,
BL16,BL16,,,A,N,
BL17,B17,,,A,N,
BL1750,BL1750,,,A,N,
BL18,BL18,,,A,N,
BL200,BL200,,,A,N,
BL2000,BL2000,,,A,N,
BL202,BL202,,,A,N,
BL21,B21,,,A,N,
BL2100,BL2100,,,A,N,
BL2150,BL2150,,,A,N,
BL2160,BL2160,,,A,N,
BL22,BL22,,,A,N,
BL2200,BL2200,,,A,N,
BL23,BL23,,,A,N,
BL2300,BL2300,,,A,N,
BL2400,BL2400,,,A,N,
BL2500,BL2500,,,A,N,
BL2600,BL2600,,,A,N,
BL2800,BL2800,,,A,N,
BL3-318,BL3-318,,,A,N,
BL3-402,BL3-402,,,A,N,
BL3-406,BL3-406,,,A,N,
BL3-407,BL3-407,,,A,N,
BL3-408,BL3-408,BabyLock Sergers,,A,N,
BL3-416,BL3-416,,,A,N,
BL3-417,BL3-417,,,A,N,
BL3-418,BL3-418,BabyLock Sergers,,A,N,
BL3-426,BL3-426,,,A,N,
BL3-428D,BL3-428D,,,A,N,
BL3-428K,BL3-428K,,,A,N,
BL3-437,BL3-437,BabyLock Sergers,,A,N,
BL3-437D,BL3-437D,,,A,N,
BL300,300,,,A,N,
BL3000,BL3000,,,A,N,
BL302,BL302,,,A,N,
BL3200,BL3200,BabyLock Sergers,,A,N,
BL3500,BL3500,,,A,N,
BL37,B37,,,A,N,
BL3800,BL3800,,,A,N,
BL4-428,BL4-428,,,A,N,
BL4-428D,BL4-428D,BabyLock Sergers,,A,N,
BL4-428NS,BL4-428NS,,,A,N,
BL4-436,BL4-436,,,A,N,
BL4-436D,BL4-436D,,,A,N,
BL4-436DF,BL4-436DF,BabyLock Sergers,,A,N,
BL4-605,BL4-605,BabyLock Sergers,,A,N,
BL4-625,BL4-625,,,A,N,
BL4-714,BL4-714,,,A,N,
BL4-728,BL4-728,BabyLock Sergers,,A,N,
BL4-728D,BL4-728D,BabyLock Sergers,,A,N,
BL4-736,BL4-736,BabyLock Sergers,,A,N,
BL4-736D,BL4-736D,,,A,N,
BL4-738,BL4-738,,,A,N,
BL4-738D,BL4-738D,BabyLock Sergers,,A,N,
BL4-738NS,BL4-738NS,,,A,N,
BL4-838D,BL4-838D,BabyLock Sergers,,A,N,
BL40,BL40,,,A,N,
BL400,BL400,,,A,N,
BL4000,BL4000,,,A,N,
BL402,BL402,,,A,N,
BL40A,BL40A (Grace),,,A,N,
BL415,BL415,BabyLock Sergers,,A,N,
BL428K,BL428K,BabyLock Sergers,,A,N,
BL430,430,,,A,N,
BL4300,BL4300,,,A,N,
BL432,432,,,A,N,
BL4350D,4350D,,,A,N,
BL450,BL450,,,A,N,
BL500,BL500,,,A,N,
BL5000,BL5000,,,A,N,
BL5020,BL5020,,,A,N,
BL5030,5030,,,A,N,
BL5040,5040,,,A,N,
BL5040L,5040L,,,A,N,
BL514,514,,,A,N,
BL5180,BL5180,,,A,N,
BL5180ENS,BL5180E(NS),,,A,N,
BL5180NS,BL5180 NS,,,A,N,
BL5260,BL5260,BabyLock Sergers,,A,N,
BL5260D,BL5260D,BabyLock Sergers,,A,N,
BL5280,BL5280,,,A,N,
BL5280E,BL5280E,,,A,N,
BL5280ED,BL5280ED,BabyLock Sergers,,A,N,
BL5280ENS,BL5280ENS,,,A,N,
BL5360ED,BL5360ED,BabyLock Sergers,,A,N,
BL5370ED,BL5370ED,,,A,N,
BL5380ED,BL5380ED,BabyLock Sergers,,A,N,
BL550,BL550,,,A,N,
BL5500,BL5500,,,A,N,
BL60,BL60,,,A,N,
BL6000,BL6000,,,A,N,
BL60E,BL60E,,,A,N,
BL6150,BL6150,,,A,N,
BL6200,BL6200,,,A,N,
BL6220,BL6220,,,A,N,
BL6300,BL6300,,,A,N,
BL6500,BL6500,,,A,N,
BL6600,BL6600,,,A,N,
BL6621,BL6621,,,A,N,
BL6700,BL6700,,,A,N,
BL6800,BL6800,,,A,N,
BL7000,BL7000,,,A,N,
BL702,BL702,,,A,N,
BL712,BL712,,,A,N,
BL713,BL713,,,A,N,
BL722,BL722,,,A,N,
BL7500,BL7500,,,A,N,
BL7800,BL7800,,,A,N,
BL80,BL80,BabyLock Sergers,,A,N,
BL8000,BL8000,,,A,N,
BL803,BL803,,,A,N,
BL804,BL804,,,A,N,
BL843,BL843,,,A,N,
BL843D,BL843D,,,A,N,
BL8500,BL8500,,,A,N,
BL8800,BL8800,,,A,N,
BL9,BL9,,,A,N,
BL90,BL90,BabyLock Sergers,,A,N,
BL9500,BL9500,,,A,N,
BLBMP6,BMP6,,,A,N,
BLBNT10L,BNT10L,,,A,N,
BLCC,BLCC,,,A,N,
BLCC2,BLCC2 (Crafter's Choice),,,A,N,
BLCC9,BLCC9,,,A,N,
BLCS,BLCS,,,A,N,
BLDC,BLDC,,,A,N,
BLDC2,BLDC2 (Decorator's Choice),,,A,N,
BLE1,BLE1 (Eclipse),BabyLock Sergers,,A,N,
BLE1AT,BLE1AT (Imagine),,,A,N,
BLE1DX,BLE1DX (Eclipse),,,A,N,
BLE1LX,BLE1LX (Eclipse),BabyLock Sergers,,A,N,
BLE1SX,BLEISX (Eclipse),BabyLock Sergers,,A,N,
BLE3ATW,"BLE3ATW, BLE3ATW-2",,,A,N,
BLE8,BLE8,,,A,N,
BLE8W,BLE8W,,,A,N,
BLEA605,EA605,,,A,N,
BLEAC,EAC,,,A,N,
BLEF405,EF405,,,A,N,
BLEM1,EM1,,,A,N,
BLEM2,EM2,,,A,N,
BLEMB6,EMB6,,,A,N,
BLEMB7,EMB7,,,A,N,
BLEMP6,EMP6,,,A,N,
BLES1,ESI,,,A,N,
BLES12,ESI2,,,A,N,
BLESE,ESE,,,A,N,
BLESE2,ESE2,,,A,N,
BLESG,ESG,,,A,N,
BLESG1,ESG1,,,A,N,
BLESG2,ESG2,,,A,N,
BLESG3,ESG3,,,A,N,
BLESL,ESL,,,A,N,
BLESN,ESN,,,A,N,
BLESP,ESP,,,A,N,
BLESP2,ESP2,,,A,N,
BLESPREE,ESPREE,,,A,N,
BLG,BLG,,,A,N,
BLG2,BLG2 (Elleqante 2),,,A,N,
BLINT,INT,,,A,N,
BLL,BLL,,,A,N,
BLLE8,BLLE8,,,A,N,
BLLEAT,BLLEAT,,,A,N,
BLLEX,BLLEX,,,A,N,
BLLEXS,BLLEXS,,,A,N,
BLMR,BLMR,,,A,N,
BLN,BLN,,,A,N,
BLQC,BLQC,,,A,N,
BLQC2,BLQC2,,,A,N,
BLQC9,BLQC9,,,A,N,
BLQP,BLQP,,,A,N,
BLR,BLR(MODEL T),,,A,N,
BLR2,BLR2,,,A,N,
BLR3,BLR3,,,A,N,
BLSE200,BLSE200,BabyLock Sergers,,A,N,
BLSE3,SE3,,,A,N,
BLSE300,BLSE300,BabyLock Sergers,,A,N,
BLSO,BLSO,,,A,N,
BLSR,BLSR,,,A,N,
BLSX,BLSX,,,A,N,
BLSY,BLSY,,,A,N,
BLTP,BLTP,,,A,N,
BOBN,Bobbins,"*** Free P60250 Display, IF Order $150.00 Carded Bobbins ***",,B,N,
BOBN-B,Bernina,,,B,N,
BOBN-BBL,"BabyLock, Simplicity",,,A,N,
BOBN-BR,Brother,,,B,N,
BOBN-E,Elna,,,B,N,
BOBN-K,Kenmore,,,B,N,
BOBN-N,Necchi,,,B,N,
BOBN-NH,New Home,,,B,N,
BOBN-P,Pfaff,,,B,N,
BOBN-R,Riccar,,,B,N,
BOBN-S,Singer,,,B,N,
BOBN-V,Husqvarna (Viking),,,B,N,
BOBN-W,White,,,B,N,
BR-VX,VX Model Series...,,,A,N,
BR-XL,XL Model Series...,,,A,N,
BR1034D,1034D,,,A,N,
BR1035,1035,,,A,N,
BR110,110,,,A,N,
BR1134D,1134D,,,A,N,
BR1243,1243,,,A,N,
BR1283,1283,,,A,N,
BR1351,1351,,,A,N,
BR1561,1561,,,A,N,
BR1681,1681,,,A,N,
BR1781,1781,,,A,N,
BR190,190,,,A,N,
BR191,191,,,A,N,
BR2034D,2034D,,,A,N,
BR210,210,,,A,N,
BR221,221,,,A,N,
BR2340CV,2340CV,,,A,N,
BR234D,234D,,,A,N,
BR268,268,,,A,N,
BR280,280,,,A,N,
BR290,290,,,A,N,
BR3034D,3034D,,,A,N,
BR320,320,,,A,N,
BR350,350,,,A,N,
BR360,360,,,A,N,
BR4000D,4000D,,,A,N,
BR4234D,4234D,,,A,N,
BR450,450,,,A,N,
BR451,451,,,A,N,
BR461,461,,,A,N,
BR523,523,,,A,N,
BR523N,523N,,,A,N,
BR524,524,,,A,N,
BR524N,524N,,,A,N,
BR524NL,524NL,,,A,N,
BR525,525,,,A,N,
BR525N,525N,,,A,N,
BR525NL,525NL,,,A,N,
BR526,526,,,A,N,
BR526D,526D,,,A,N,
BR530,530,,,A,N,
BR535,535,,,A,N,
BR535D,535D,,,A,N,
BR535N,535N,,,A,N,
BR546,546,,,A,N,
BR546D,546D,,,A,N,
BR625,625,,,A,N,
BR626,626,,,A,N,
BR626D,626D,,,A,N,
BR634D,634D,,,A,N,
BR640D,640D,,,A,N,
BR641,641,,,A,N,
BR645,645,,,A,N,
BR651,651,,,A,N,
BR661,661,,,A,N,
BR666FB,666FB,,,A,N,
BR671,671,,,A,N,
BR681,681,,,A,N,
BR7029,7029,,,A,N,
BR730,730,,,A,N,
BR730D,730D,,,A,N,
BR730DE,730DE,,,A,N,
BR734D,734D,,,A,N,
BR741,741,,,A,N,
BR745,745,,,A,N,
BR751,751,,,A,N,
BR760,760,,,A,N,
BR760D,760D,,,A,N,
BR760DE,760DE,,,A,N,
BR760E,760E,,,A,N,
BR761,761,,,A,N,
BR781,781,,,A,N,
BR797,797,,,A,N,
BR8015,8015,,,A,N,
BR834D,834D,,,A,N,
BR834DP,834DP,,,A,N,
BR845,845,,,A,N,
BR851,851,,,A,N,
BR870,870,,,A,N,
BR895,895,,,A,N,
BR900,900,,,A,N,
BR900D,900D,,,A,N,
BR920,920,,,A,N,
BR920D,920D,,,A,N,
BR925D,925D,,,A,N,
BR929D,929D,,,A,N,
BR934,934,,,A,N,
BR934D,934D,,,A,N,
BR934DF,934DF,,,A,N,
BR935D,935D,,,A,N,
BR940,940,,,A,N,
BR9600TD,9600TD,,,A,N,
BR9700LD,9700LD,,,A,N,
BR9800LD,9800LD,,,A,N,
BR991,991,,,A,N,
BRB511,B511,,,A,N,
BRB531,B531,,,A,N,
BRB551,B551,,,A,N,
BRB571,B571,,,A,N,
BRB581,B581,,,A,N,
BRB611,B611,,,A,N,
BRB631,B631,,,A,N,
BRB661,B661,,,A,N,
BRB705,"B705, B706, B707, B710",,,A,N,
BRB714,"B714, B715, B716",,,A,N,
BRB735,"B735, B736, B737, B738",,,A,N,
BRB745,"B745, B746, B747",,,A,N,
BRB755,B755,,,A,N,
BRB756,"B756, B757",,,A,N,
BRB763,"B761, B763, B767",,,A,N,
BRB781,B781,,,A,N,
BRB791,"B790, B791, B795",,,A,N,
BRB792,"B792, B793",,,A,N,
BRB797,"B797, B798",,,A,N,
BRB832,"B831, B832",,,A,N,
BRB835,"B835, B836",,,A,N,
BRB837,B837,,,A,N,
BRB838,B838,,,A,N,
BRB912,"B912, B913, B915",,,A,N,
BRB931,"B931, B932, B935",,,A,N,
BRB953,"B953, B955, B956, B957, B959",,,A,N,
BRB972,B972,,,A,N,
BRBC1000,"BC1000, 2100, 2300, 2500..",,,A,N,
BRBM2600,"BM2600, 3500, 3700, 3700CT, ..","BM2600, BM2800, BM3500, BM3700, BM3700CT, BM3850, B3850CT, BM3850FG...",,A,N,
BRCE2000,CE2000,,,A,N,
BRCE4000,CE4000,,,A,N,
BRCE5000,CE5000,,,A,N,
BRCE5000PR,CE5000PRW,,,A,N,
BRCE6000,CE6000,,,A,N,
BRCP6500,"CP6500, CP7500",,,A,N,
BRCS,CS Model Series...,,,A,N,
BRCS100,CS100,,,A,N,
BRCS100T,CS100T,,,A,N,
BRCS4000,CS4000,,,A,N,
BRCS4000T,CS4000T,,,A,N,
BRCS5000,CS5000,,,A,N,
BRCS5100,CS5100,,,A,N,
BRCS6000,CS6000,,,A,N,
BRCS6000I,CS6000I,,,A,N,
BRCS6000T,CS6000T,,,A,N,
BRCS7000,CS7000,,,A,N,
BRCS770,CS770,,,A,N,
BRCS8000,CS8000,,,A,N,
BRCS8060,CS8060,,,A,N,
BRCS8072,CS8072,,,A,N,
BRCS8079,CS8079,,,A,N,
BRCS8100,CS8100,,,A,N,
BRCS8150,CS8150,,,A,N,
BRCS8200,CS8200,,,A,N,
BRDB2-B700,DB2-B700 Series,,,A,N,
BRDZ1234,DZ1234,,,A,N,
BRES2000,"ES2000, ES2000T",,,A,N,
BRES2010,ES2010,,,A,N,
BRES2020,ES2020,,,A,N,
BRES2200,ES2200,,,A,N,
BRES2210,ES2210,,,A,N,
BRES2220,ES2220,,,A,N,
BRES2400,ES2400,,,A,N,
BRES2410,ES2410,,,A,N,
BRES2420,ES2420,,,A,N,
BREX660,EX-660,,,A,N,
BRGS2700,"GS2700,2786K,3700,3710,3740C..","GS2700, GS2786K, GS3700, GS3710, GS3740C",,A,N,
BRHANAMI,"Hanami: 17s, 25, 27s, 37s",,,A,N,
BRHE240,HE240,,,A,N,
BRHS1000,HS1000,,,A,N,
BRINNOV40,INNOV-IS 40 (NS 40),,,A,N,
BRINNOV80,INNOV-IS 80,,,A,N,
BRL25,"L25, L35",,,A,N,
BRLS,LS Model Series...,,,A,N,
BRLS-1217,LS-1217,,,A,N,
BRLS-1520,LS-1520,,,A,N,
BRLS-1529,LS-1529,,,A,N,
BRLS-1717,LS-1717,,,A,N,
BRLS-2020,LS-2020,,,A,N,
BRLS-2125,LS-2125,,,A,N,
BRLS-2125I,LS-2125i,,,A,N,
BRLS-2135,LS-2135,,,A,N,
BRLS-2720,LS-2720,,,A,N,
BRLS-2725,LS-2725,,,A,N,
BRLS-2820,LS-2820,,,A,N,
BRLS-2825,LS-2825,,,A,N,
BRLS-2920,LS-2920,,,A,N,
BRLS-3125,LS-3125,,,A,N,
BRLS590,LS-590,,,A,N,
BRLX1700,"LX1700, 2500, 2763, 3850...",,,A,N,
BRLZBB852,"LZB-B852, LZB-B854",,,A,N,
BRNV,NV Model Series...,,,A,N,
BRNV1000,NV1000,,,A,N,
BRNV1000D,NV1000D,,,A,N,
BRNV1200,NV1200,,,A,N,
BRNV1250D,NV1250D,,,A,N,
BRNV1500,NV1500,,,A,N,
BRNV1500D,NV1500D,,,A,N,
BRNV200,NV200,,,A,N,
BRNV2500,NV2500,,,A,N,
BRNV2500D,NV2500D,,,A,N,
BRNV2800D,NV2800D,,,A,N,
BRNV350E,NV350E,,,A,N,
BRNV400,NV400,,,A,N,
BRNV4000,NV4000,,,A,N,
BRNV4000D,NV4000D,,,A,N,
BRNV4500D,NV4500D,,,A,N,
BRNV500D,NV500D,,,A,N,
BRNV600,NV600,,,A,N,
BRNV700E,NV700E,,,A,N,
BRNV750D,NV750D,,,A,N,
BRNV750E,NV750E,,,A,N,
BRNV780D,NV780D,,,A,N,
BRNV900,"NV900, NV900D",,,A,N,
BRNX,NX Model Series...,,,A,N,
BRNX200,NX200,,,A,N,
BRNX250,NX250,,,A,N,
BRNX400,NX400,,,A,N,
BRNX450,NX450,,,A,N,
BRNX600,NX600,,,A,N,
BRNX650,NX650,,,A,N,
BRNX800,NX800,,,A,N,
BROTHER,Brother - Sewing Machines,"* Brother Instruction Book VX Series and XL Series, Click under VX Model Series & XL Model Series from the Left.",,B,N,
BROTHER2,Brother - Overlocks,,,A,N,
BRPC,PC Model Series...,,,A,N,
BRPC1700,PC1700,,,A,N,
BRPC1950,PC1950,,,A,N,
BRPC210,PC210,,,A,N,
BRPC210PRW,PC210PRW,,,A,N,
BRPC2800,PC2800,,,A,N,
BRPC3000,PC3000,,,A,N,
BRPC4000,PC4000,,,A,N,
BRPC420PRW,PC420PRW,,,A,N,
BRPC5000,PC5000,,,A,N,
BRPC6000,PC6000,,,A,N,
BRPC6500,PC6500,,,A,N,
BRPC7000,PC7000,,,A,N,
BRPC7500,PC7500,,,A,N,
BRPC8000,PC8000,,,A,N,
BRPC8895,PC8895,,,A,N,
BRPC9000,PC9000,,,A,N,
BRPE,PE Model Series...,,,A,N,
BRPE100,PE100,,,A,N,
BRPE150,PE150,,,A,N,
BRPE180,PE180,,,A,N,
BRPE180D,PE180D,,,A,N,
BRPE200,PE200,,,A,N,
BRPE300,PE300,,,A,N,
BRPE300S,PE300S,,,A,N,
BRPE400D,PE400D,,,A,N,
BRPE400S,PE400S,,,A,N,
BRPE450,PE450,,,A,N,
BRPE500,PE500,,,A,N,
BRPE700,PE700,,,A,N,
BRPE700D,PE700D,,,A,N,
BRPE750,PE750,,,A,N,
BRPE750D,PE750D,,,A,N,
BRPE750E,PE750E,,,A,N,
BRPE770,PE770,,,A,N,
BRPE780D,PE780D,,,A,N,
BRPE8200,PE8200,,,A,N,
BRPE8500,PE8500,,,A,N,
BRPL-1050,PL-1050 OVERLOCK,,,A,N,
BRPL-1500,PL-1500 OVERLOCK,,,A,N,
BRPL-1600,PL-1600 OVERLOCK,,,A,N,
BRPL-2000,PL-2000 OVERLOCK,,,A,N,
BRPL-2100,PL-2100 OVERLOCK,,,A,N,
BRPL-950,PL-950,,,A,N,
BRPQ1300,PQ1300,,,A,N,
BRPQ1500,PQ1500,,,A,N,
BRPQ1500S,PQ1500S,,,A,N,
BRPR1000,"PR1000/E,600,620,650/C,655,...",,,A,N,
BRPRES30,PRESTIGE 30,,,A,N,
BRPS,PS Model Series...,,,A,N,
BRPS-1000,PS-1000,,,A,N,
BRPS-1200,PS-1200,,,A,N,
BRPS-1250,PS-1250,,,A,N,
BRPS-1700,PS-1700,,,A,N,
BRPS-1750,PS-1750,,,A,N,
BRPS-1800,PS-1800,,,A,N,
BRPS-1900,PS-1900,,,A,N,
BRPS-1950,PS-1950,,,A,N,
BRPS-2100,PS-2100,,,A,N,
BRPS-2200,PS-2200,,,A,N,
BRPS-2230,PS-2230,,,A,N,
BRPS-2250,PS-2250,,,A,N,
BRPS-2300,PS-2300,,,A,N,
BRPS-2360,PS-2360,,,A,N,
BRPS-2400,PS-2400,,,A,N,
BRPS-2470,PS-2470,,,A,N,
BRPS-2500,PS-2500,,,A,N,
BRPS-3100,PS-3100,,,A,N,
BRPX100,"PX100, 150, 200, 300",,,A,N,
BRR5240,R5240,,,A,N,
BRRS15,"RS15,25,35,40,40S,45S,240, 260","RS15, RS25, RS35, RS40, RS40S,RS 45S, RS240, RS260..",,A,N,
BRSB,"SB170, SB530T, SB750",,,A,N,
BRSE270D,SE-270D,,,A,N,
BRSE350,SE-350,,,A,N,
BRSE400,SE-400,,,A,N,
